3702809;ANDROIDE;MU4IN800;4;MU4IN200;1;MU4IN601;3;MU4IN700;1;MU4IN600;1;;
3803177;ANDROIDE;MU4IN400;2;MU4IN104;2;;;;;;;;
21101825;ANDROIDE;MU4IN800;2;MU4IN200;4;MU4IN900;2;MU4IN601;3;MU4IN600;3;;
21101875;ANDROIDE;MU4IN800;2;MU4IN200;3;MU4IN900;3;MU4IN601;5;MU4IN801;1;;
21104033;ANDROIDE;MU4IN800;3;MU4IN200;1;MU4IN601;3;MU4IN600;3;MU4IN700;1;;
21104859;ANDROIDE;MU4IN800;1;MU4IN200;2;MU4IN601;3;MU4IN900;2;MU4IN801;1;;
21105329;ANDROIDE;MU4IN800;4;MU4IN200;2;MU4IN601;1;MU4IN801;2;MU4IN500;1;;
21106775;ANDROIDE;MU4IN800;1;MU4IN200;3;MU4IN601;3;MU4IN900;3;MU4IN801;2;;
21106878;ANDROIDE;MU4IN800;1;MU4IN200;4;MU4IN900;2;MU4IN601;3;MU4IN600;3;;
21107465;ANDROIDE;MU4IN800;1;MU4IN200;3;MU4IN900;3;MU4IN601;3;MU4IN801;2;;
21107598;ANDROIDE;MU4IN800;4;MU4IN200;2;MU4IN601;1;MU4IN801;2;MU4IN500;1;;
21107689;ANDROIDE;MU4IN800;2;MU4IN200;3;MU4IN601;5;MU4IN900;3;MU4IN700;1;;
21108238;ANDROIDE;MU4IN800;1;MU4IN200;4;MU4IN601;1;MU4IN900;2;MU4IN600;3;;
21109566;ANDROIDE;MU4IN800;1;MU4IN200;4;MU4IN601;1;MU4IN900;3;MU4IN801;2;;
21110611;ANDROIDE;MU4IN800;2;MU4IN200;4;MU4IN601;3;MU4IN900;2;MU4IN600;3;;
21110736;ANDROIDE;MU4IN800;1;MU4IN200;3;MU4IN601;5;MU4IN900;3;MU4IN801;1;;
21110846;ANDROIDE;MU4IN800;1;MU4IN200;3;MU4IN900;2;MU4IN601;5;MU4IN600;1;;
21112041;ANDROIDE;MU4IN800;2;MU4IN200;2;MU4IN601;1;MU4IN900;2;MU4IN104;1;;
21112336;ANDROIDE;MU4IN800;1;MU4IN200;3;MU4IN601;5;MU4IN801;3;MU4IN600;1;;
21112373;ANDROIDE;MU4IN800;2;MU4IN200;3;MU4IN601;3;MU4IN900;3;MU4IN801;2;;
21113004;ANDROIDE;MU4IN800;2;MU4IN200;4;MU4IN900;3;MU4IN601;5;MU4IN801;1;;
21113482;ANDROIDE;MU4IN800;2;MU4IN200;4;MU4IN600;1;MU4IN900;2;MU4IN601;1;;
21113927;ANDROIDE;MU4IN800;2;MU4IN200;3;MU4IN601;5;MU4IN900;3;MU4IN700;1;;
21114048;ANDROIDE;MU4IN800;2;MU4IN200;4;MU4IN900;2;MU4IN601;5;MU4IN600;1;;
21128353;ANDROIDE;MU4IN800;1;MU4IN200;4;MU4IN601;5;MU4IN900;2;MU4IN600;3;;
21238294;ANDROIDE;MU4IN800;1;MU4IN200;4;MU4IN601;5;MU4IN900;2;MU4IN600;1;;
21304236;ANDROIDE;MU4IN800;4;MU4IN200;1;MU4IN700;1;MU4IN601;3;MU4IN600;3;;
21305057;ANDROIDE;MU4IN800;1;MU4IN200;4;MU4IN900;2;MU4IN601;1;MU4IN600;3;;
21309952;ANDROIDE;MU4IN601;2;MU4IN600;3;;;;;;;;
21318843;ANDROIDE;MU4IN800;4;MU4IN200;1;MU4IN600;3;MU4IN601;3;MU4IN700;1;;
21400017;ANDROIDE;MU4IN800;4;MU4IN200;1;MU4IN601;5;MU4IN600;3;MU4IN700;1;;
21400107;ANDROIDE;MU4IN800;2;MU4IN200;3;MU4IN601;1;MU4IN900;2;MU4IN600;3;;
