Parcours;numero;ue obtenues
ANDROIDE;21107598;1 , 2 , 3 , 4 , 6;lrc4;mogpl2;mapsi1;mlbda2;algav1
ANDROIDE;21106775;1 , 2 , 3 , 4 , 5;lrc1;mogpl3;mapsi3;complex3;mlbda2
ANDROIDE;21110846;1 , 2 , 3 , 4 , 7;lrc1;mogpl3;complex2;mapsi5;bima1
ANDROIDE;21128353;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;mapsi5;complex2;bima3
ANDROIDE;21304236;1 , 2 , 3 , 4 , 6;lrc4;mogpl1;aagb1;mapsi3;bima3
ANDROIDE;21305057;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;complex2;mapsi1;bima3
ANDROIDE;28705881;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;mapsi1;complex2;dlp2
ANDROIDE;21106878;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;complex2;mapsi3;bima3
ANDROIDE;21113004;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;complex3;mapsi5;mlbda1
ANDROIDE;21112041;1 , 2 , 3 , 4 , 6;lrc2;mogpl2;mapsi1;complex2;signal1
ANDROIDE;28726582;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;complex3;mapsi5;mlbda1
ANDROIDE;21400363;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;mapsi3;complex3;mlbda1
ANDROIDE;21400107;1 , 2 , 3 , 4 , 7;lrc2;mogpl3;mapsi1;complex2;bima3
ANDROIDE;21110736;1 , 2 , 3 , 4 , 5;lrc1;mogpl3;mapsi5;complex3;mlbda1
ANDROIDE;21400464;1 , 2 , 3 , 4 , 6;lrc1;mogpl3;complex2;mapsi3;bima3;INSCRIPTION INCOMPLETE !
ANDROIDE;28605659;1 , 2 , 3 , 4 , 5;lrc1;mogpl3;mapsi1;complex2;dlp1
ANDROIDE;21400449;1 , 2 , 3 , 4 , 6;lrc2;mogpl3;complex2;mapsi1;bima1
ANDROIDE;28706870;1 , 2 , 3 , 4 , 5;lrc1;mogpl3;bima1;complex2;mapsi5
ANDROIDE;21411393;1 , 2 , 3 , 4 , 6;lrc4;mogpl1;mapsi1;bima1;signal1
ANDROIDE;21113482;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;bima1;complex2;mapsi1
ANDROIDE;21238294;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;mapsi5;complex2;bima1
ANDROIDE;21101875;1 , 2 , 3 , 4 , 5;lrc2;mogpl3;complex3;mapsi5;mlbda1
ANDROIDE;21104859;1 , 2 , 3 , 4 , 5;lrc1;mogpl2;mapsi3;complex2;mlbda1
ANDROIDE;21105329;1 , 2 , 3 , 4 , 5;lrc4;mogpl2;mapsi1;mlbda2;algav1
ANDROIDE;21112373;1 , 2 , 3 , 4 , 5;lrc2;mogpl3;mapsi3;complex3;mlbda2
ANDROIDE;21401298;1 , 2 , 3 , 4 , 5;lrc3;mogpl1;mapsi1;bima3;signal1
ANDROIDE;21400122;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;mapsi3;complex3;aagb1
ANDROIDE;21309952;2 , 3;mapsi2;bima3
ANDROIDE;21114048;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;complex2;mapsi5;bima1
ANDROIDE;3702809;1 , 2 , 3 , 4 , 5;lrc4;mogpl1;mapsi3;aagb1;bima1
ANDROIDE;28716151;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;mapsi5;complex3;mlbda1
ANDROIDE;28708160;1 , 2 , 3;pscr2;bima3;mapsi1
ANDROIDE;21107689;1 , 2 , 3 , 4 , 5;lrc2;mogpl3;mapsi5;complex3;aagb1
ANDROIDE;21108238;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;mapsi1;complex2;bima3
ANDROIDE;21107465;1 , 2 , 3 , 4 , 5;lrc1;mogpl3;complex3;mapsi3;mlbda2
ANDROIDE;28630657;1 , 2 , 3 , 5 , 6;lrc3;mogpl1;mapsi3;bima3;aagb1
ANDROIDE;21400017;1 , 2 , 3 , 4 , 5;lrc4;mogpl1;mapsi5;bima3;aagb1
ANDROIDE;21402861;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;mapsi5;complex2;bima1
ANDROIDE;21113927;1 , 2 , 3 , 4 , 5;lrc2;mogpl3;mapsi5;complex3;aagb1
ANDROIDE;21112336;1 , 2 , 3 , 4 , 5;lrc1;mogpl3;mapsi5;mlbda3;bima1
ANDROIDE;21101825;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;complex2;mapsi3;bima3
ANDROIDE;28718491;1 , 2 , 3 , 4 , 5;lrc2;mogpl3;mapsi3;complex3;mlbda2
ANDROIDE;3803177;1 , 2;pscr2;signal2
ANDROIDE;21110611;1 , 2 , 3 , 4 , 5;lrc2;mogpl4;mapsi3;complex2;bima3
SESI;CANDK12QHSFP;1 , 2 , 5 , 6 , 7;archi1;vlsi1;mobj1;noyau1;pscr3
ANDROIDE;28603668;1 , 2 , 3 , 6;lrc4;mogpl2;mapsi1;algav1
ANDROIDE;21318843;1 , 2 , 3 , 4 , 6;lrc4;mogpl1;bima3;mapsi3;aagb1
ANDROIDE;21109566;1 , 2 , 3 , 4 , 5;lrc1;mogpl4;mapsi1;complex3;mlbda2
ANDROIDE;21104033;1 , 2 , 3 , 5 , 6;lrc3;mogpl1;mapsi3;bima3;aagb1
ANDROIDE;28618735;1;aagb1
ANDROIDE;3702508;1;aagb1
SESI;21221825;1 , 2 , 3 , 4 , 5;archi2;vlsi1;signal2;esa1;mobj1
